tree_id,樹種,経度,緯度,区分,場所,出典
PT0004-01-0421,クロマツ,139.6409047,35.68493692,公園樹木（杉並区）,和田堀公園,suginami_park_matsu
PT0007-00-0127,アカマツ,139.6178284,35.71731272,公園樹木（杉並区）,妙正寺公園,suginami_park_matsu
PT0007-00-0131,アカマツ,139.6178561,35.71729072,公園樹木（杉並区）,妙正寺公園,suginami_park_matsu
PT0007-00-0132,アカマツ,139.6178072,35.71729011,公園樹木（杉並区）,妙正寺公園,suginami_park_matsu
PT0007-00-0136,アカマツ,139.6178845,35.71727239,公園樹木（杉並区）,妙正寺公園,suginami_park_matsu
PT0007-00-0137,アカマツ,139.6178356,35.7172665,公園樹木（杉並区）,妙正寺公園,suginami_park_matsu
PT0007-00-0140,アカマツ,139.6178575,35.71724922,公園樹木（杉並区）,妙正寺公園,suginami_park_matsu
PT0007-00-0141,アカマツ,139.6178221,35.71724811,公園樹木（杉並区）,妙正寺公園,suginami_park_matsu
PT0013-00-0075,アカマツ,139.6585426,35.70167494,公園樹木（杉並区）,高円寺東公園,suginami_park_matsu
PT0037-00-0036,アカマツ,139.5979146,35.68884317,公園樹木（杉並区）,久我山公園,suginami_park_matsu
PT0041-00-0014,アカマツ,139.6214748,35.68888139,公園樹木（杉並区）,高井戸東公園,suginami_park_matsu
PT0043-00-0004,クロマツ,139.60804,35.68781478,公園樹木（杉並区）,富士見丘北公園,suginami_park_matsu
PT0058-02-0007,アカマツ,139.6208637,35.67982525,公園樹木（杉並区）,三泉淵緑地,suginami_park_matsu
PT0062-00-0013,アカマツ,139.6132041,35.69636469,公園樹木（杉並区）,南荻窪公園,suginami_park_matsu
PT0077-00-0049,アカマツ,139.6075597,35.68033469,公園樹木（杉並区）,昭栄公園,suginami_park_matsu
PT0077-00-0075,アカマツ,139.6078667,35.68021561,公園樹木（杉並区）,昭栄公園,suginami_park_matsu
PT0119-00-0147,マツ,139.624347,35.70111411,公園樹木（杉並区）,大田黒公園,suginami_park_matsu
PT0119-00-0337,マツ,139.6247558,35.700699,公園樹木（杉並区）,大田黒公園,suginami_park_matsu
PT0119-00-0347,アカマツ,139.6245486,35.70067783,公園樹木（杉並区）,大田黒公園,suginami_park_matsu
PT0119-00-0384,マツ,139.6247188,35.70060317,公園樹木（杉並区）,大田黒公園,suginami_park_matsu
PT0119-00-0387,マツ,139.6246217,35.70059869,公園樹木（杉並区）,大田黒公園,suginami_park_matsu
PT0119-00-0391,マツ,139.6248378,35.70059444,公園樹木（杉並区）,大田黒公園,suginami_park_matsu
PT0119-00-0398,マツ,139.6247598,35.70056956,公園樹木（杉並区）,大田黒公園,suginami_park_matsu
PT0119-00-0405,マツ,139.6247761,35.70055803,公園樹木（杉並区）,大田黒公園,suginami_park_matsu
PT0119-00-0409,マツ,139.6247934,35.70054869,公園樹木（杉並区）,大田黒公園,suginami_park_matsu
PT0119-00-0435,マツ,139.6247584,35.70048472,公園樹木（杉並区）,大田黒公園,suginami_park_matsu
PT0123-00-0010,クロマツ,139.5971335,35.69909172,公園樹木（杉並区）,松庵三丁目公園,suginami_park_matsu
PT0133-00-0008,ヤマツバキ,139.5975189,35.71810467,公園樹木（杉並区）,切通し公園,suginami_park_matsu
PT0133-00-0023,ヤマツバキ,139.5975412,35.71804461,公園樹木（杉並区）,切通し公園,suginami_park_matsu
PT0133-00-0088,ヤマツバキ,139.5976248,35.71779461,公園樹木（杉並区）,切通し公園,suginami_park_matsu
PT0133-00-0111,ヤマツバキ,139.5974348,35.71771064,公園樹木（杉並区）,切通し公園,suginami_park_matsu
PT0137-00-0325,クロマツ,139.644059,35.70981017,公園樹木（杉並区）,馬橋公園,suginami_park_matsu
PT0139-00-0007,アカマツ,139.5931333,35.69568414,公園樹木（杉並区）,まつぼっくり緑地,suginami_park_matsu
PT0139-00-0021,アカマツ,139.5931835,35.69564031,公園樹木（杉並区）,まつぼっくり緑地,suginami_park_matsu
PT0139-00-0024,アカマツ,139.5932577,35.69562278,公園樹木（杉並区）,まつぼっくり緑地,suginami_park_matsu
PT0139-00-0025,アカマツ,139.5931635,35.69562136,公園樹木（杉並区）,まつぼっくり緑地,suginami_park_matsu
PT0139-00-0027,アカマツ,139.5932189,35.69561567,公園樹木（杉並区）,まつぼっくり緑地,suginami_park_matsu
PT0139-00-0028,アカマツ,139.5933773,35.69561572,公園樹木（杉並区）,まつぼっくり緑地,suginami_park_matsu
PT0139-00-0030,アカマツ,139.5932999,35.69561044,公園樹木（杉並区）,まつぼっくり緑地,suginami_park_matsu
PT0139-00-0036,アカマツ,139.5932919,35.69558417,公園樹木（杉並区）,まつぼっくり緑地,suginami_park_matsu
PT0142-00-0096,アカマツ,139.6182497,35.71335003,公園樹木（杉並区）,清水森公園,suginami_park_matsu
PT0145-00-0019,クロマツ,139.6557111,35.69789872,公園樹木（杉並区）,蚕糸の森公園,suginami_park_matsu
PT0145-00-0028,クロマツ,139.6557545,35.69788611,公園樹木（杉並区）,蚕糸の森公園,suginami_park_matsu
PT0145-00-0032,クロマツ,139.6557175,35.69787619,公園樹木（杉並区）,蚕糸の森公園,suginami_park_matsu
PT0145-00-0310,クロマツ,139.6564792,35.69741672,公園樹木（杉並区）,蚕糸の森公園,suginami_park_matsu
